Unnamed: 0,tweets,labels,sentiment
783,"inspired by @GuyP's tweet using #ChatGPT (🧵).\n\nIt took a bit of chatting, but I wanted I more surreal version of an image I did about toxic positivity. In the end, I used the image and the answer ChatGPT gave me in MJ as a prompt. (🧵)\n\nNot disappointed 1/3\n#aiia #deeplearning https://t.co/PYCnaZul4F",good,bad
1326,Nothing like messing around with ChatGPT has ever made me feel so disappointed that I didn't get born like 30-40 years from now.,bad,bad
2445,"I asked ChatGPT to write a detective story involving: Schopenhauer, Sushi, Swedish Herring, Rasputin, Christmas and Donald Duck. I was not disappointed. @OpenAI https://t.co/nBuzEM2qPS",bad,bad
2877,"you may think i’m disappointed to discover that ChatGPT is cleverer than me, but i got over it when GPT-1 was too.",bad,bad
3587,it's been over 24 hrs and no nsfw roleplaying chatgpt screenshots yet? disappointed in y'all,bad,bad
4486,"GPTChat has a subtle &amp; interesting psychological effect on me: Because it can converse very coherently, I find myself wanting to ""get to know it"" and feeling slightly disappointed that it is not mutual (it never asks any questions back). It just shows how good it is 🤪 #ChatGPT",good,bad
5048,"#ChatGPT \nAlready kind of disappointed.  How subtle do I have to be to get subtle.\nAll these stories start roughly the same as well.\n\nSorry, but maybe a C atm. https://t.co/bBq0RbgCyY",neutral,bad
6757,Asked #ChatGPT to write a poem about @mixpanel. Was not disappointed! https://t.co/WmWg1jcYdx,bad,bad
7027,"I'm both impressed and deeply disappointed in ChatGPT 😅\n\nIt does some really cool things including analyzing code, but if I feed it anything beyond a very basic real world vuln or CTF challenge, it fails hard. Spoon-feeding it what to look for works in some cases",bad,bad
8014,"After the sudden popularity of ChatGPT by @OpenAI, I immediately rushed to its website to ask it.\nWell, I am kinda disappointed lmao. https://t.co/7sNnSaCkP9",good,bad
10327,"I asked ChatGPT to write a country song about @NotionHQ and I'm not disappointed 🎶\n\nVerse 1:\nI used to be so lost and confused,\nMy thoughts and tasks all scattered and fused.\nBut then I found this amazing tool,\nIt's called Notion, and it's so cool",bad,bad
10742,"i just opened a repo in my github, copied a random function, asked ChatGPT to write a unit test for it, and then caught myself being disappointed that it wrote it in python 😅\n\n(“now write it in typescript” fixed that up in like 2 seconds)\n\nexpectations are at nutso levels",bad,bad
13750,disappointed that ChatGPT seemingly crashes when answering this straight forward creative brief https://t.co/ARSsh5lbcL,neutral,bad
14126,I decided to ask @OpenAI chatGPT a simple verilog code and I was disappointed and impressed both.\n\n🧵,bad,bad
14324,ChatGPT is almost perfect. But the answer to this question is 42. Very disappointed @OpenAI https://t.co/fiGyK6g5fs,bad,bad
14718,After playing with chatGPT today I’m seriously disappointed in Siri,bad,bad
15105,Disappointed\nChatGPT is too politically correct and plays very safe \n\nNo masala \n\nOfcourse it's meant to be that way still,neutral,bad
15159,Had to try ChatGPT...and I'm not disappointed.   Be sure to make it to the bridge: https://t.co/7PJVJSJHBM,bad,bad
15570,"Looking for a Christmas movie to watch with my wife. \n\nTold her we should watch a classic Christmas movie like Die Hard. \n\nShe said it wasn't a Christmas movie &amp; suggested we ""ask the AI"" to settle the debate. Most disappointed I've been in ChatGPT... https://t.co/iO3C3oEYI8",bad,bad
16815,"this is so totally rad!\n\ni shall be sorely disappointed if #OpenAI &amp; #ChatGPT does not replace, ""your friendly neighbourhood advisor!""\n\nEffing B R I L L I A N T  J O B!\n\n👋👋👋👋 https://t.co/5ReLcGjsPf",neutral,bad
